period,births,EXPONENTIAL SMOOTHING
1,8096,#N/A
2,7772,8096
3,10142,8031.2
4,11248,8453.36
5,11053,9012.288
6,11406,9420.4304
7,11251,9817.54432
8,8653,10104.23546
9,7910,9813.988365
10,10498,9433.190692
11,11706,9646.152553
12,11567,10058.12204
13,11212,10359.89763
14,11570,10530.31811
15,8660,10738.25449
16,8123,10322.60359
17,10567,9882.682871
18,11541,10019.5463
19,11257,10323.83704
20,11682,10510.46963
21,11811,10744.7757
22,8833,10958.02056
23,8310,10533.01645
24,11125,10088.41316
25,11981,10295.73053
26,11514,10632.78442
27,11702,10809.02754
28,11666,10987.62203
29,8988,11123.29762
30,8096,10696.2381
31,10765,10176.19048
32,11755,10293.95238
33,11483,10586.16191
34,11523,10765.52953
35,11677,10917.02362
36,8991,11069.0189
37,8309,10653.41512
38,10984,10184.53209
39,12152,10344.42567
40,11515,10705.94054
41,11623,10867.75243
42,11517,11018.80195
43,8945,11118.44156
44,8171,10683.75325
45,11551,10181.2026
46,12164,10455.16208
47,12009,10796.92966
48,11674,11039.34373
49,11887,11166.27498
50,8946,11310.41999
51,8402,10837.53599
52,10617,10350.42879
53,11810,10403.74303
54,11776,10684.99443
55,11667,10903.19554
56,11905,11055.95643
57,8988,11225.76515
58,8195,10778.21212
59,11091,10261.56969
60,12127,10427.45575
61,11735,10767.3646
62,11984,10960.89168
63,12066,11165.51335
64,9215,11345.61068
65,8389,10919.48854
66,10996,10413.39083
67,12275,10529.91267
68,11780,10878.93013
69,11792,11059.14411
70,11939,11205.71529
71,9087,11352.37223
72,8248,10899.29778
73,11092,10369.03823
74,12298,10513.63058
75,11865,10870.50446
76,11976,11069.40357
77,11799,11250.72286
78,8944,11360.37829
79,8243,10877.10263
80,11140,10350.2821
81,11964,10508.22568
82,11637,10799.38055
83,11904,10966.90444
84,11568,11154.32355
85,8957,11237.05884
86,8189,10781.04707
87,11051,10262.63766
88,12154,10420.31013
89,11540,10767.0481
90,11782,10921.63848
91,10630,11093.71078
92,8782,11000.96863
93,7530,10557.1749
94,10909,9951.739922
95,11876,10143.19194
96,11811,10489.75355
97,11718,10754.00284
98,11532,10946.80227
99,8791,11063.84182
